campaign_id,campaign_name,campaign_type,touch_channel,start_ts,end_ts,target_segment_demo,touch_count,conversions,conversion_rate_7d,budget_demo
DIS_001,Discount / Email / DIS_001,Discount,Email,2024-03-24,2026-03-27,Смешанный сегмент,16,0,0.0,198.94
DIS_001,Discount / In-App / DIS_001,Discount,In-App,2024-06-01,2026-03-27,Смешанный сегмент,14,1,0.0714,298.95
DIS_001,Discount / Push / DIS_001,Discount,Push,2024-09-30,2026-03-20,Смешанный сегмент,33,1,0.0303,522.63
DIS_001,Discount / Retargeting / DIS_001,Discount,Retargeting,2024-12-09,2026-03-01,Смешанный сегмент,8,0,0.0,177.9
DIS_001,Discount / SMS / DIS_001,Discount,SMS,2025-01-25,2026-02-23,Смешанный сегмент,9,0,0.0,132.13
DIS_002,Discount / SMS / DIS_002,Discount,SMS,2025-08-23,2026-03-10,Смешанный сегмент,5,2,0.4,79.37
DIS_002,Discount / Push / DIS_002,Discount,Push,2024-02-18,2026-03-28,Смешанный сегмент,31,1,0.0323,477.79
DIS_002,Discount / Retargeting / DIS_002,Discount,Retargeting,2025-04-24,2025-11-22,Смешанный сегмент,4,0,0.0,86.1
DIS_002,Discount / Email / DIS_002,Discount,Email,2025-02-05,2026-03-31,Смешанный сегмент,19,0,0.0,285.06
DIS_002,Discount / In-App / DIS_002,Discount,In-App,2024-10-17,2026-03-24,Смешанный сегмент,16,1,0.0625,255.12
DIS_003,Discount / Email / DIS_003,Discount,Email,2024-01-31,2026-02-26,Смешанный сегмент,17,0,0.0,340.94
DIS_003,Discount / In-App / DIS_003,Discount,In-App,2024-10-25,2026-03-30,Смешанный сегмент,18,0,0.0,313.62
DIS_003,Discount / Push / DIS_003,Discount,Push,2024-12-07,2026-03-31,Смешанный сегмент,21,0,0.0,356.44
DIS_003,Discount / Retargeting / DIS_003,Discount,Retargeting,2024-06-07,2026-03-10,Смешанный сегмент,9,0,0.0,144.71
DIS_003,Discount / SMS / DIS_003,Discount,SMS,2024-12-18,2026-03-30,Смешанный сегмент,10,0,0.0,156.03
DIS_004,Discount / SMS / DIS_004,Discount,SMS,2024-08-15,2026-03-17,Смешанный сегмент,13,2,0.1538,222.48
DIS_004,Discount / Push / DIS_004,Discount,Push,2024-02-25,2026-03-29,Смешанный сегмент,28,0,0.0,436.64
DIS_004,Discount / Retargeting / DIS_004,Discount,Retargeting,2024-11-19,2026-03-29,Смешанный сегмент,13,0,0.0,190.94
DIS_004,Discount / Email / DIS_004,Discount,Email,2024-07-18,2026-03-31,Смешанный сегмент,20,0,0.0,397.37
DIS_004,Discount / In-App / DIS_004,Discount,In-App,2024-04-28,2026-03-29,Смешанный сегмент,10,2,0.2,169.99
DIS_005,Discount / Email / DIS_005,Discount,Email,2024-07-25,2026-03-27,Смешанный сегмент,12,1,0.0833,187.65
DIS_005,Discount / In-App / DIS_005,Discount,In-App,2024-12-08,2026-01-18,Смешанный сегмент,9,0,0.0,155.9
DIS_005,Discount / Push / DIS_005,Discount,Push,2024-06-29,2026-03-27,Смешанный сегмент,25,0,0.0,404.73
DIS_005,Discount / Retargeting / DIS_005,Discount,Retargeting,2024-09-05,2026-03-30,Смешанный сегмент,10,0,0.0,123.34
DIS_005,Discount / SMS / DIS_005,Discount,SMS,2025-02-26,2026-03-30,Смешанный сегмент,8,0,0.0,152.0
DIS_006,Discount / Push / DIS_006,Discount,Push,2024-07-15,2026-03-29,Смешанный сегмент,24,0,0.0,376.34
DIS_006,Discount / SMS / DIS_006,Discount,SMS,2024-08-10,2026-01-09,Смешанный сегмент,5,0,0.0,42.63
