touch_id,user_id,touch_ts,touch_channel,campaign_id,campaign_type,offer_type,opened_flag,clicked_flag,converted_within_7d_flag,converted_trip_id,treatment_group_demo,touch_cost
M0000001,U00001,2025-01-29T00:00:00,Push,DIS_037,Discount,20% скидка,True,False,False,,treatment_b,29.68
M0000002,U00001,2025-10-04T00:00:00,Retargeting,SER_009,Service,Без оффера,False,False,False,,treatment_a,21.19
M0000003,U00001,2024-12-10T00:00:00,SMS,SUB_004,Subscription,15% скидка,True,True,False,,treatment_a,6.92
M0000004,U00001,2025-03-07T00:00:00,Push,RET_012,Retention,Без оффера,True,True,False,,treatment_a,5.9
M0000005,U00001,2025-10-07T00:00:00,SMS,DIS_030,Discount,10% скидка,False,False,False,,treatment_a,10.46
M0000006,U00001,2025-07-10T00:00:00,Retargeting,DIS_027,Discount,15% скидка,False,False,False,,treatment_b,26.62
M0000007,U00001,2025-09-24T00:00:00,Email,WEL_007,Welcome,Пробный Ride Pass,False,False,False,,treatment_a,11.15
M0000008,U00002,2026-02-11T00:00:00,Retargeting,RET_006,Retention,15% скидка,False,False,False,,treatment_b,26.14
M0000009,U00003,2026-01-28T00:00:00,Retargeting,DIS_026,Discount,Без оффера,False,False,False,,treatment_a,21.5
M0000010,U00003,2026-03-03T00:00:00,Push,DIS_004,Discount,5% скидка,False,False,False,,treatment_a,27.41
M0000011,U00003,2025-11-19T00:00:00,SMS,RET_038,Retention,Пробный Ride Pass,True,False,False,,treatment_b,27.19
M0000012,U00003,2026-02-21T00:00:00,Push,SUB_033,Subscription,20% скидка,False,False,False,,treatment_b,19.14
M0000013,U00003,2026-02-11T00:00:00,Email,RET_031,Retention,10% скидка,False,False,False,,treatment_b,31.12
M0000014,U00003,2025-12-02T00:00:00,Email,WEL_035,Welcome,Без оффера,False,False,False,,treatment_a,26.59
M0000015,U00003,2026-01-09T00:00:00,In-App,SUB_022,Subscription,5% скидка,True,True,False,,control,30.11
M0000016,U00004,2026-01-23T00:00:00,Email,REA_016,Reactivation,Без оффера,True,False,False,,control,13.92
M0000017,U00004,2025-09-16T00:00:00,In-App,DIS_030,Discount,Без оффера,False,False,False,,treatment_a,29.9
M0000018,U00005,2025-07-11T00:00:00,In-App,WEL_020,Welcome,5% скидка,False,False,False,,treatment_a,16.54
M0000019,U00005,2026-02-19T00:00:00,Push,DIS_008,Discount,5% скидка,True,False,False,,treatment_a,12.01
M0000020,U00006,2026-02-02T00:00:00,Retargeting,RET_018,Retention,15% скидка,True,True,False,,treatment_a,18.78
M0000021,U00006,2025-11-04T00:00:00,In-App,SUB_027,Subscription,10% скидка,True,False,False,,treatment_a,20.03
M0000022,U00006,2026-03-29T00:00:00,Push,RET_030,Retention,5% скидка,False,False,False,,treatment_a,4.6
M0000023,U00006,2025-12-05T00:00:00,Retargeting,RET_016,Retention,15% скидка,False,False,False,,treatment_a,27.99
M0000024,U00007,2026-02-02T00:00:00,Retargeting,DIS_036,Discount,5% скидка,False,False,False,,control,21.49
M0000025,U00007,2026-03-15T00:00:00,SMS,RET_023,Retention,15% скидка,False,False,False,,treatment_b,31.94
M0000026,U00007,2025-12-05T00:00:00,Email,WEL_032,Welcome,5% скидка,False,False,False,,treatment_a,1.15
M0000027,U00007,2026-03-16T00:00:00,Email,RET_021,Retention,Без оффера,True,False,False,,treatment_a,17.17
M0000028,U00007,2025-05-10T00:00:00,Retargeting,WEL_039,Welcome,5% скидка,False,False,False,,treatment_a,19.69
M0000029,U00007,2026-03-02T00:00:00,In-App,SER_022,Service,15% скидка,False,False,False,,treatment_b,27.99
M0000030,U00007,2025-07-02T00:00:00,Push,WEL_014,Welcome,Без оффера,True,True,False,,control,11.36
M0000031,U00007,2025-09-17T00:00:00,SMS,SUB_038,Subscription,20% скидка,True,True,False,,treatment_a,5.31
M0000032,U00007,2026-02-17T00:00:00,Retargeting,SUB_015,Subscription,5% скидка,False,False,False,,treatment_a,6.85
M0000033,U00008,2026-02-09T00:00:00,SMS,SER_002,Service,15% скидка,False,False,False,,treatment_a,3.85
M0000034,U00008,2025-08-23T00:00:00,Retargeting,WEL_031,Welcome,15% скидка,False,False,True,T0000075,treatment_a,7.39
M0000035,U00008,2026-01-20T00:00:00,Push,DIS_002,Discount,Без оффера,False,False,False,,treatment_a,18.84
M0000036,U00009,2025-01-03T00:00:00,Retargeting,WEL_010,Welcome,5% скидка,False,False,False,,control,26.86
M0000037,U00009,2026-02-09T00:00:00,Push,DIS_027,Discount,Без оффера,False,False,False,,treatment_a,2.52
M0000038,U00009,2025-05-27T00:00:00,In-App,REA_015,Reactivation,5% скидка,False,False,False,,control,16.85
M0000039,U00009,2025-08-17T00:00:00,Retargeting,RET_026,Retention,15% скидка,False,False,False,,treatment_a,21.61
M0000040,U00009,2025-03-05T00:00:00,Email,RET_021,Retention,10% скидка,False,False,False,,treatment_a,25.72
M0000041,U00009,2025-07-20T00:00:00,SMS,REA_029,Reactivation,15% скидка,True,True,False,,treatment_b,10.25
M0000042,U00010,2026-01-17T00:00:00,Email,RET_019,Retention,10% скидка,False,False,False,,treatment_a,14.15
M0000043,U00010,2024-10-19T00:00:00,Push,WEL_028,Welcome,10% скидка,True,False,False,,treatment_a,15.51
M0000044,U00010,2025-11-23T00:00:00,Retargeting,RET_033,Retention,5% скидка,False,False,False,,treatment_a,1.73
M0000045,U00010,2024-12-06T00:00:00,In-App,DIS_033,Discount,Без оффера,True,False,False,,treatment_a,18.07
M0000046,U00010,2025-02-24T00:00:00,SMS,SER_001,Service,5% скидка,False,False,False,,treatment_a,26.62
M0000047,U00011,2025-06-09T00:00:00,Email,WEL_001,Welcome,5% скидка,True,True,False,,treatment_a,27.87
M0000048,U00011,2024-12-22T00:00:00,Push,SUB_009,Subscription,5% скидка,False,False,False,,treatment_a,29.37
M0000049,U00011,2026-02-11T00:00:00,Push,REA_004,Reactivation,Без оффера,True,False,False,,treatment_a,28.91
M0000050,U00011,2025-07-25T00:00:00,Email,DIS_024,Discount,Без оффера,False,False,False,,treatment_b,4.49
M0000051,U00011,2025-11-17T00:00:00,SMS,REA_033,Reactivation,Без оффера,True,False,False,,treatment_a,1.96
M0000052,U00011,2024-09-10T00:00:00,In-App,REA_006,Reactivation,Без оффера,True,True,False,,treatment_b,31.09
M0000053,U00011,2025-04-05T00:00:00,Push,DIS_032,Discount,Без оффера,False,False,False,,treatment_a,30.2
M0000054,U00011,2026-01-19T00:00:00,In-App,DIS_037,Discount,5% скидка,True,False,False,,control,29.16
M0000055,U00011,2024-05-11T00:00:00,Push,REA_009,Reactivation,Пробный Ride Pass,False,False,False,,treatment_a,16.56
M0000056,U00012,2026-03-02T00:00:00,Push,REA_009,Reactivation,15% скидка,False,False,False,,treatment_a,28.89
M0000057,U00012,2026-03-26T00:00:00,Push,RET_012,Retention,Пробный Ride Pass,True,True,False,,treatment_a,22.77
M0000058,U00012,2026-03-30T00:00:00,Retargeting,DIS_005,Discount,10% скидка,False,False,False,,treatment_a,7.21
M0000059,U00012,2026-03-10T00:00:00,Push,WEL_014,Welcome,5% скидка,False,False,False,,control,27.28
M0000060,U00012,2026-03-09T00:00:00,SMS,RET_013,Retention,Пробный Ride Pass,True,False,False,,treatment_b,3.21
M0000061,U00013,2025-06-16T00:00:00,Push,DIS_038,Discount,10% скидка,False,False,True,T0000138,treatment_a,15.66
M0000062,U00013,2025-06-26T00:00:00,Email,DIS_004,Discount,Без оффера,False,False,False,,treatment_b,31.95
M0000063,U00013,2026-03-22T00:00:00,Retargeting,REA_038,Reactivation,15% скидка,False,False,False,,control,26.25
M0000064,U00013,2025-04-01T00:00:00,Push,DIS_021,Discount,10% скидка,False,False,False,,treatment_a,20.02
M0000065,U00013,2025-04-10T00:00:00,Retargeting,REA_021,Reactivation,5% скидка,False,False,False,,treatment_a,11.69
M0000066,U00014,2024-09-26T00:00:00,In-App,DIS_028,Discount,10% скидка,False,False,False,,control,19.69
M0000067,U00014,2024-09-23T00:00:00,Email,RET_013,Retention,Без оффера,True,False,False,,control,30.27
M0000068,U00014,2026-03-01T00:00:00,Retargeting,RET_005,Retention,15% скидка,False,False,False,,treatment_a,10.71
M0000069,U00014,2025-11-02T00:00:00,In-App,RET_036,Retention,Пробный Ride Pass,False,False,False,,treatment_b,2.14
M0000070,U00014,2026-02-18T00:00:00,Email,RET_020,Retention,15% скидка,False,False,False,,treatment_a,24.44
M0000071,U00014,2025-11-22T00:00:00,In-App,DIS_015,Discount,15% скидка,True,True,False,,control,21.15
M0000072,U00014,2024-11-24T00:00:00,Email,REA_033,Reactivation,Пробный Ride Pass,False,False,False,,treatment_a,20.44
M0000073,U00015,2026-03-07T00:00:00,SMS,WEL_005,Welcome,Без оффера,False,False,False,,treatment_a,23.75
M0000074,U00015,2026-01-23T00:00:00,Push,WEL_014,Welcome,5% скидка,False,False,False,,treatment_b,27.64
M0000075,U00015,2026-03-07T00:00:00,Email,REA_008,Reactivation,5% скидка,False,False,False,,treatment_b,25.41
M0000076,U00015,2025-10-29T00:00:00,In-App,RET_027,Retention,20% скидка,True,True,False,,control,13.51
M0000077,U00015,2026-02-28T00:00:00,Push,DIS_021,Discount,Без оффера,False,False,False,,treatment_a,25.71
M0000078,U00015,2026-02-20T00:00:00,Email,SER_037,Service,10% скидка,False,False,False,,treatment_b,10.23
M0000079,U00015,2026-01-24T00:00:00,Push,DIS_002,Discount,10% скидка,False,False,False,,treatment_a,13.99
M0000080,U00015,2025-10-11T00:00:00,Push,DIS_035,Discount,Без оффера,False,False,False,,treatment_a,9.92
M0000081,U00015,2026-02-05T00:00:00,In-App,RET_012,Retention,10% скидка,False,False,False,,control,4.94
M0000082,U00015,2026-01-29T00:00:00,Email,SER_010,Service,Без оффера,False,False,False,,treatment_a,11.62
M0000083,U00016,2025-06-14T00:00:00,SMS,RET_029,Retention,Без оффера,True,False,False,,treatment_b,4.46
M0000084,U00016,2025-08-25T00:00:00,In-App,SER_029,Service,20% скидка,True,True,False,,treatment_b,10.48
M0000085,U00016,2025-07-30T00:00:00,In-App,WEL_022,Welcome,20% скидка,False,False,False,,treatment_a,7.0
M0000086,U00016,2026-02-27T00:00:00,Email,DIS_028,Discount,Без оффера,False,False,False,,treatment_a,22.4
M0000087,U00016,2025-11-05T00:00:00,Push,REA_036,Reactivation,15% скидка,False,False,False,,treatment_a,20.1
M0000088,U00016,2026-03-04T00:00:00,Push,SER_017,Service,5% скидка,True,True,False,,treatment_a,6.81
M0000089,U00016,2025-10-26T00:00:00,Push,WEL_002,Welcome,15% скидка,False,False,False,,treatment_a,29.29
M0000090,U00017,2025-12-12T00:00:00,SMS,DIS_020,Discount,15% скидка,True,False,False,,treatment_a,31.7
M0000091,U00017,2025-08-09T00:00:00,Email,SER_016,Service,10% скидка,False,False,True,T0000173,control,20.81
M0000092,U00017,2025-11-07T00:00:00,Push,DIS_027,Discount,10% скидка,False,False,False,,treatment_a,2.03
M0000093,U00017,2025-06-25T00:00:00,Retargeting,SUB_019,Subscription,Без оффера,False,False,False,,control,23.24
M0000094,U00017,2026-03-31T00:00:00,SMS,SUB_023,Subscription,Без оффера,False,False,False,,treatment_b,22.74
M0000095,U00017,2025-09-09T00:00:00,Email,WEL_023,Welcome,Без оффера,True,True,False,,treatment_b,11.23
M0000096,U00018,2025-11-12T00:00:00,Email,DIS_011,Discount,15% скидка,True,True,False,,treatment_a,24.77
M0000097,U00018,2025-12-19T00:00:00,Push,REA_009,Reactivation,Пробный Ride Pass,False,False,False,,treatment_a,22.95
M0000098,U00018,2026-01-29T00:00:00,Email,DIS_004,Discount,5% скидка,True,False,False,,treatment_a,10.8
M0000099,U00018,2026-01-27T00:00:00,Push,SER_038,Service,Без оффера,False,False,False,,treatment_a,16.08
M0000100,U00018,2025-10-12T00:00:00,Push,WEL_024,Welcome,5% скидка,False,False,False,,treatment_b,21.08
