trip_id,user_id,request_ts,completed_ts,pickup_city,dropoff_city,tariff,order_status,distance_km,duration_min,surge_multiplier,eta_minutes,gmv,platform_revenue,promo_discount,driver_bonus,processing_cost,insurance_cost,support_cost,refund_amount,variable_ops_cost,contribution_margin,rating,is_airport_trip,weather_bucket,payment_method
T0000001,U00001,2024-07-10T12:33:00,2024-07-10T13:07:00,Екатеринбург,Екатеринбург,Эконом,completed,9.11,34.5,1.0,7.9,303.54,66.78,18.21,0.0,6.0,4.0,0.0,0.0,10.0,38.57,4.7,False,Ясно,Наличные
T0000002,U00001,2024-09-02T13:21:00,2024-09-02T14:15:00,Екатеринбург,Екатеринбург,Эконом,completed,14.26,54.8,1.38,8.3,591.27,130.08,35.48,0.0,7.1,4.73,0.0,0.0,11.83,82.78,4.6,False,Праздник,Наличные
T0000003,U00001,2024-09-04T19:59:00,2024-09-04T20:16:00,Екатеринбург,Екатеринбург,Эконом,completed,5.22,18.0,1.16,2.0,243.59,53.59,14.62,0.0,6.0,4.0,0.0,0.0,10.0,28.97,5.0,False,Пиковый спрос,Наличные
T0000004,U00001,2024-09-16T13:59:00,2024-09-16T14:43:00,Екатеринбург,Екатеринбург,Эконом,completed,10.99,44.9,1.0,5.3,348.8,76.74,20.93,0.0,6.0,4.0,0.0,0.0,10.0,45.81,5.0,False,Ясно,Наличные
T0000005,U00002,2025-03-13T07:57:00,2025-03-13T09:09:00,Москва,Москва,Бизнес,completed,16.53,72.0,1.0,4.7,1000.59,280.16,0.0,0.0,12.01,8.0,0.0,0.0,20.01,260.15,4.9,False,Ясно,Карта
T0000006,U00003,2025-12-15T08:09:00,2025-12-15T08:29:00,Казань,Казань,Эконом,completed,6.17,20.6,1.0,9.3,233.18,51.3,0.0,0.0,6.0,4.0,0.0,0.0,10.0,41.3,4.5,False,Ясно,Наличные
T0000007,U00003,2026-01-04T16:59:00,2026-01-04T17:43:00,Казань,Казань,Эконом,completed,13.0,44.5,1.41,11.1,558.88,122.95,0.0,24.59,6.71,4.47,12.98,0.0,24.16,74.2,4.8,False,Пиковый спрос,Наличные
T0000008,U00003,2026-02-06T08:53:00,2026-02-06T09:06:00,Казань,Казань,Эконом,completed,4.23,14.0,1.0,7.4,186.46,41.02,0.0,0.0,6.0,4.0,0.0,0.0,10.0,31.02,4.7,False,Ясно,Наличные
T0000009,U00003,2026-02-12T15:59:00,2026-02-12T16:20:00,Казань,Казань,Эконом,completed,6.54,21.0,1.0,5.2,241.93,53.23,0.0,0.0,6.0,4.0,0.0,0.0,10.0,43.23,4.7,False,Ясно,Наличные
T0000010,U00003,2026-02-17T08:27:00,2026-02-17T08:37:00,Казань,Казань,Эконом,completed,3.35,10.9,1.41,9.7,232.81,51.22,15.82,0.0,6.0,4.0,0.0,0.0,10.0,25.39,5.0,False,Пиковый спрос,Наличные
T0000011,U00003,2026-03-05T17:20:00,2026-03-05T17:38:00,Казань,Казань,Эконом,completed,4.88,18.2,1.11,5.6,225.34,49.58,0.0,0.0,6.0,4.0,0.0,0.0,10.0,39.58,4.8,False,Дождь,Наличные
T0000012,U00003,2026-03-18T14:14:00,2026-03-18T14:24:00,Казань,Казань,Эконом,completed,2.9,10.6,1.12,11.3,172.62,37.98,0.0,0.0,6.0,4.0,0.0,0.0,10.0,27.98,5.0,False,Пиковый спрос,Наличные
