user_id,registration_date,first_app_open_date,home_city,registration_platform,acquisition_channel,acquisition_campaign,acquisition_cost,activation_type,first_trip_date,preferred_tariff,subscription_plan,payment_method_preference,promo_dependency_score,multi_city_flag,support_contact_count_demo,fraud_risk_flag_demo,lifecycle_status_demo
U00001,2024-03-13,2024-03-16,Екатеринбург,Android,Социальная реклама,СОЦ_03,274.95,Промо-первая поездка,2024-03-18,Эконом,Ride Pass,Наличные,0.589,False,3,False,Dormant
U00002,2024-12-29,2025-01-01,Москва,Android,Партнерский канал,ПАР_02,122.21,Органическая первая поездка,2025-01-03,Эконом,Нет,Карта,0.151,False,1,False,Dormant
U00003,2025-11-17,2025-11-18,Казань,iOS,Поиск платный,ПОИ_02,445.45,Органическая первая поездка,2025-12-09,Эконом,Нет,Наличные,0.555,False,2,False,At Risk
U00004,2024-10-10,2024-10-11,Москва,Android,Органика,ОРГ_16,10.28,Органическая первая поездка,2024-10-18,Эконом,Нет,Карта,0.312,False,2,False,Active
U00005,2025-02-08,2025-02-09,Москва,Android,Поиск платный,ПОИ_13,417.9,Органическая первая поездка,2025-02-17,Эконом,Нет,Карта,0.023,False,1,False,Active
U00006,2025-01-12,2025-01-15,Казань,Android,Партнерский канал,ПАР_06,114.57,Органическая первая поездка,2025-01-18,Эконом,Нет,Карта,0.566,False,0,False,Active
U00007,2025-01-16,2025-01-19,Санкт-Петербург,Android,Органика,ОРГ_13,9.34,Органическая первая поездка,2025-01-20,Бизнес,Нет,Карта,0.485,False,3,False,Active
U00008,2025-05-16,2025-05-19,Москва,Android,Поиск платный,ПОИ_08,278.91,Органическая первая поездка,2025-05-29,Эконом,Ride Pass,Наличные,0.486,False,1,False,Dormant
U00009,2024-11-30,2024-12-01,Казань,iOS,Органика,ОРГ_05,29.09,Промо-первая поездка,2024-12-08,Бизнес,Нет,Карта,0.924,False,0,False,New
U00010,2024-08-29,2024-08-31,Санкт-Петербург,iOS,Партнерский канал,ПАР_17,173.06,Не активирован,,Комфорт,Нет,Наличные,0.384,True,4,False,Never Activated
U00011,2024-04-30,2024-05-02,Москва,iOS,Органика,ОРГ_03,28.15,Органическая первая поездка,2024-05-10,Бизнес,Нет,Кошелек,0.298,False,1,False,At Risk
U00012,2026-02-24,2026-02-27,Москва,iOS,Социальная реклама,СОЦ_04,415.65,Промо-первая поездка,2026-03-04,Комфорт,Ride Pass,Карта,0.539,True,0,False,New
U00013,2025-02-25,2025-02-27,Москва,Android,Поиск платный,ПОИ_15,264.79,Промо-первая поездка,2025-03-01,Комфорт,Ride Pass,Карта,0.199,False,4,False,Reactivated
U00014,2024-09-18,2024-09-21,Казань,Android,Партнерский канал,ПАР_08,113.76,Отложенная активация,2024-10-23,Эконом,Нет,Карта,0.344,False,1,False,Active
U00015,2025-10-08,2025-10-11,Санкт-Петербург,iOS,CRM реактивация,CRM_17,109.48,Не активирован,,Эконом,Ride Pass,Карта,0.556,True,3,False,Never Activated
U00016,2025-04-18,2025-04-18,Москва,Web,CRM реактивация,CRM_09,57.13,Реактивация после регистрации,2025-05-25,Комфорт,Нет,Наличные,0.635,False,1,False,Dormant
U00017,2025-05-04,2025-05-05,Москва,iOS,Органика,ОРГ_03,23.49,Органическая первая поездка,2025-05-27,Эконом,Нет,Наличные,0.249,False,1,False,At Risk
U00018,2025-09-28,2025-09-29,Новосибирск,Android,Поиск платный,ПОИ_06,380.01,Органическая первая поездка,2025-10-03,Бизнес,Нет,Кошелек,0.095,False,0,False,Dormant
U00019,2025-12-18,2025-12-19,Москва,Web,Брендовый трафик,БРЕ_12,21.74,Органическая первая поездка,2025-12-28,Эконом,Нет,Карта,0.079,False,1,False,Dormant
U00020,2024-02-16,2024-02-16,Екатеринбург,Android,CRM реактивация,CRM_02,113.46,Реактивация после регистрации,2024-03-17,Комфорт,Нет,Карта,0.63,True,3,False,At Risk
U00021,2025-01-09,2025-01-11,Москва,iOS,Органика,ОРГ_03,22.27,Органическая первая поездка,2025-02-02,Бизнес,Нет,Наличные,0.869,False,0,False,Active
U00022,2024-03-17,2024-03-18,Санкт-Петербург,Android,Социальная реклама,СОЦ_06,289.7,Органическая первая поездка,2024-03-25,Эконом,Нет,Карта,0.342,False,2,False,Active
U00023,2025-03-05,2025-03-06,Казань,Android,Социальная реклама,СОЦ_16,313.18,Промо-первая поездка,2025-03-14,Бизнес,Нет,Карта,0.18,False,0,False,Active
U00024,2024-12-04,2024-12-05,Санкт-Петербург,iOS,Органика,ОРГ_17,27.02,Промо-первая поездка,2024-12-19,Эконом,Ride Pass,Кошелек,0.975,False,2,False,Dormant
U00025,2025-06-15,2025-06-15,Москва,iOS,Социальная реклама,СОЦ_10,173.84,Промо-первая поездка,2025-06-15,Комфорт,Нет,Карта,0.657,False,3,False,Dormant
U00026,2025-05-15,2025-05-15,Санкт-Петербург,iOS,Поиск платный,ПОИ_01,489.25,Органическая первая поездка,2025-05-20,Комфорт,Нет,Наличные,0.244,False,1,False,At Risk
U00027,2025-05-11,2025-05-14,Москва,Android,Социальная реклама,СОЦ_08,308.03,Не активирован,,Эконом,Нет,Карта,0.352,False,4,False,Never Activated
U00028,2025-10-22,2025-10-23,Казань,Web,Социальная реклама,СОЦ_10,172.69,Органическая первая поездка,2025-10-23,Бизнес,Нет,Наличные,0.276,False,4,False,New
U00029,2024-07-13,2024-07-13,Москва,iOS,Поиск платный,ПОИ_11,452.3,Промо-первая поездка,2024-07-27,Комфорт,Нет,Наличные,0.505,False,3,False,Active
U00030,2025-03-03,2025-03-04,Москва,Android,Брендовый трафик,БРЕ_02,25.09,Органическая первая поездка,2025-03-13,Эконом,Нет,Кошелек,0.022,False,1,False,At Risk
U00031,2024-10-07,2024-10-07,Москва,iOS,Поиск платный,ПОИ_11,506.13,Органическая первая поездка,2024-10-09,Эконом,Нет,Карта,0.601,False,3,False,At Risk
U00032,2024-09-01,2024-09-02,Екатеринбург,iOS,Органика,ОРГ_16,15.34,Органическая первая поездка,2024-09-21,Эконом,Ride Pass,Наличные,0.492,True,2,False,Reactivated
U00033,2025-08-26,2025-08-26,Москва,iOS,Органика,ОРГ_02,1.78,Промо-первая поездка,2025-09-13,Эконом,Нет,Карта,0.597,False,2,False,Dormant
U00034,2024-11-30,2024-12-01,Екатеринбург,iOS,Брендовый трафик,БРЕ_14,33.7,Органическая первая поездка,2024-12-17,Эконом,Нет,Карта,0.599,False,0,False,New
U00035,2025-01-23,2025-01-23,Санкт-Петербург,Android,Реферальная программа,РЕФ_13,303.76,Не активирован,,Эконом,Ride Pass,Карта,0.681,False,4,False,Never Activated
U00036,2024-04-02,2024-04-04,Москва,iOS,Органика,ОРГ_03,0.67,Органическая первая поездка,2024-04-13,Эконом,Нет,Карта,0.434,True,4,False,Active
U00037,2025-03-27,2025-03-30,Москва,Android,Реферальная программа,РЕФ_04,252.72,Реферальная первая поездка,2025-04-20,Комфорт,Нет,Карта,0.226,False,2,False,Active
U00038,2025-03-10,2025-03-12,Казань,Web,Реферальная программа,РЕФ_06,297.93,Реферальная первая поездка,2025-03-14,Эконом,Нет,Карта,0.153,False,2,False,Active
U00039,2025-06-11,2025-06-12,Казань,Android,Социальная реклама,СОЦ_14,190.96,Не активирован,,Комфорт,Нет,Карта,0.428,False,3,False,Never Activated
U00040,2025-05-26,2025-05-27,Санкт-Петербург,iOS,Реферальная программа,РЕФ_04,152.57,Не активирован,,Эконом,Ride Pass,Карта,0.194,False,0,False,Never Activated
U00041,2024-10-07,2024-10-08,Москва,Android,Органика,ОРГ_11,16.85,Органическая первая поездка,2024-10-18,Эконом,Нет,Карта,0.15,False,0,False,Reactivated
U00042,2024-06-30,2024-07-02,Екатеринбург,Android,Органика,ОРГ_13,5.61,Органическая первая поездка,2024-07-10,Эконом,Нет,Карта,0.368,False,0,False,Active
U00043,2025-05-19,2025-05-19,Санкт-Петербург,iOS,Социальная реклама,СОЦ_05,235.89,Не активирован,,Комфорт,Ride Pass,Кошелек,0.382,False,2,False,Never Activated
U00044,2025-11-04,2025-11-05,Москва,Web,Органика,ОРГ_03,19.4,Органическая первая поездка,2025-11-30,Эконом,Ride Pass,Карта,0.0,False,4,False,Active
U00045,2025-11-15,2025-11-15,Москва,iOS,CRM реактивация,CRM_15,40.23,Не активирован,,Эконом,Ride Pass,Карта,0.481,False,0,False,Never Activated
U00046,2024-12-20,2024-12-20,Москва,Android,Реферальная программа,РЕФ_13,188.54,Реферальная первая поездка,2025-01-07,Эконом,Нет,Карта,0.35,False,3,False,Dormant
U00047,2025-08-06,2025-08-07,Москва,Android,Партнерский канал,ПАР_03,111.39,Промо-первая поездка,2025-08-14,Комфорт,Нет,Кошелек,0.932,False,3,False,Active
U00048,2026-01-15,2026-01-17,Москва,iOS,Органика,ОРГ_12,7.09,Органическая первая поездка,2026-02-10,Эконом,Нет,Кошелек,0.299,False,4,False,New
U00049,2024-05-23,2024-05-26,Москва,Android,Брендовый трафик,БРЕ_11,74.76,Отложенная активация,2024-07-12,Эконом,Нет,Карта,0.454,False,1,False,Active
U00050,2024-10-22,2024-10-23,Екатеринбург,Android,Органика,ОРГ_11,27.91,Органическая первая поездка,2024-11-04,Эконом,Нет,Карта,0.75,False,0,False,Reactivated
U00051,2024-07-22,2024-07-23,Казань,iOS,Брендовый трафик,БРЕ_04,50.05,Промо-первая поездка,2024-08-07,Комфорт,Нет,Карта,0.741,False,0,False,Active
U00052,2024-09-21,2024-09-24,Екатеринбург,iOS,Брендовый трафик,БРЕ_06,73.58,Органическая первая поездка,2024-10-07,Эконом,Нет,Наличные,0.378,False,3,False,Dormant
U00053,2024-01-22,2024-01-22,Екатеринбург,Android,Брендовый трафик,БРЕ_03,35.45,Промо-первая поездка,2024-01-29,Комфорт,Нет,Карта,0.512,False,0,False,New
U00054,2025-07-24,2025-07-27,Казань,Android,Органика,ОРГ_16,30.55,Отложенная активация,2025-09-12,Эконом,Ride Pass,Кошелек,0.336,False,3,False,New
U00055,2024-08-23,2024-08-24,Екатеринбург,Android,Партнерский канал,ПАР_09,126.09,Органическая первая поездка,2024-09-10,Эконом,Нет,Карта,0.361,False,0,False,Active
U00056,2025-01-13,2025-01-13,Москва,iOS,Реферальная программа,РЕФ_13,131.05,Реферальная первая поездка,2025-01-20,Эконом,Нет,Карта,0.0,False,0,False,Reactivated
U00057,2024-11-28,2024-11-28,Казань,Android,Брендовый трафик,БРЕ_04,39.44,Органическая первая поездка,2024-12-10,Эконом,Ride Pass,Карта,0.551,True,0,False,Active
U00058,2024-01-26,2024-01-28,Москва,Android,Поиск платный,ПОИ_17,333.36,Промо-первая поездка,2024-02-15,Эконом,Ride Pass,Кошелек,0.83,False,1,False,Active
U00059,2025-09-10,2025-09-13,Екатеринбург,Android,Поиск платный,ПОИ_08,494.13,Органическая первая поездка,2025-09-19,Эконом,Нет,Карта,0.603,False,0,False,Active
U00060,2025-12-19,2025-12-22,Санкт-Петербург,iOS,Поиск платный,ПОИ_16,507.62,Органическая первая поездка,2026-01-07,Эконом,Нет,Карта,0.704,False,1,False,At Risk
U00061,2025-12-20,2025-12-23,Москва,iOS,Брендовый трафик,БРЕ_04,61.41,Промо-первая поездка,2026-01-03,Комфорт,Нет,Карта,0.18,False,0,False,Active
U00062,2024-07-02,2024-07-05,Москва,Android,CRM реактивация,CRM_16,110.58,Реактивация после регистрации,2024-07-24,Комфорт,Нет,Карта,0.621,False,4,False,Dormant
U00063,2024-05-07,2024-05-09,Санкт-Петербург,iOS,CRM реактивация,CRM_15,110.78,Не активирован,,Эконом,Нет,Кошелек,0.633,False,3,False,Never Activated
U00064,2024-04-13,2024-04-15,Санкт-Петербург,Android,Социальная реклама,СОЦ_08,281.37,Не активирован,,Бизнес,Нет,Карта,0.76,True,1,False,Never Activated
U00065,2024-05-08,2024-05-10,Москва,Android,CRM реактивация,CRM_03,93.72,Реактивация после регистрации,2024-06-03,Бизнес,Ride Pass,Карта,0.83,True,1,False,Dormant
U00066,2024-11-28,2024-11-29,Москва,Android,CRM реактивация,CRM_09,133.67,Реактивация после регистрации,2024-12-19,Эконом,Нет,Карта,0.439,False,0,False,Active
U00067,2025-01-31,2025-02-02,Москва,Android,Социальная реклама,СОЦ_14,307.42,Органическая первая поездка,2025-02-10,Эконом,Нет,Карта,0.502,False,4,False,Active
U00068,2026-02-22,2026-02-24,Екатеринбург,Android,Социальная реклама,СОЦ_02,354.32,Не активирован,,Комфорт,Нет,Карта,0.33,False,1,False,Never Activated
U00069,2024-08-25,2024-08-26,Екатеринбург,Android,Брендовый трафик,БРЕ_09,36.41,Органическая первая поездка,2024-08-29,Эконом,Нет,Карта,0.276,False,0,False,Dormant
U00070,2024-05-23,2024-05-25,Москва,Android,Поиск платный,ПОИ_11,305.55,Не активирован,,Эконом,Нет,Карта,0.128,False,2,False,Never Activated
U00071,2025-12-27,2025-12-27,Санкт-Петербург,iOS,Брендовый трафик,БРЕ_15,54.09,Не активирован,,Эконом,Нет,Карта,0.769,False,0,False,Never Activated
